action_id,title,description,control_id,system_id,action_type,priority,status,owner_name,owner_email,created_date,due_date,closed_date,estimated_hours,actual_hours,blocked_by,notes
ACT-2B11087F,Document incident response procedure,Action item for AT control remediation,MA-2,SYS-018,Training,Critical,Open,Alex Garcia,alex.garcia@company.com,2025-10-05,2025-11-22,,72,,,
ACT-7F5BFFD1,Update security training materials,Action item for PL control remediation,MA-17,SYS-016,Review,Medium,Closed,Taylor Williams,taylor.williams@company.com,2025-08-14,2026-02-12,2025-12-04,19,65,,
ACT-846EE4DE,Document incident response procedure,Action item for CM control remediation,SC-11,SYS-035,Documentation,High,In Progress,Taylor Davis,taylor.davis@company.com,2025-07-25,2026-01-05,,40,,,
ACT-9F940851,Update access control policy,Action item for MA control remediation,MP-18,SYS-006,Review,Medium,Closed,Alex Johnson,alex.johnson@company.com,2025-07-23,2026-01-16,2025-12-05,32,79,,
ACT-013BF5AC,Update security training materials,Action item for PE control remediation,MP-8,SYS-040,Training,Critical,Closed,Avery Garcia,avery.garcia@company.com,2025-07-26,2026-01-15,2025-12-06,45,97,,
ACT-8505D656,Implement multi-factor authentication,Action item for PL control remediation,AT-13,SYS-019,Remediation,Critical,Closed,Alex Chen,alex.chen@company.com,2025-07-14,2026-03-07,2025-12-02,66,48,,
ACT-EFDAB690,Document incident response procedure,Action item for PM control remediation,CP-11,SYS-049,Implementation,Critical,Closed,Taylor Patel,taylor.patel@company.com,2025-09-21,2026-02-11,2025-12-08,57,66,,
ACT-228F5CCF,Configure SIEM alerts,Action item for AT control remediation,AU-5,SYS-033,Implementation,Medium,Closed,Drew Rodriguez,drew.rodriguez@company.com,2025-08-06,2026-02-10,2025-11-26,34,74,,
ACT-2EBBE875,Review vendor contracts,Action item for SR control remediation,CM-16,SYS-041,Implementation,Low,Open,Quinn Williams,quinn.williams@company.com,2025-06-18,2025-10-20,,37,,,
ACT-4728F53F,Implement multi-factor authentication,Action item for AU control remediation,CP-18,SYS-011,Review,Critical,In Progress,Riley Davis,riley.davis@company.com,2025-09-18,2026-01-12,,37,,,
ACT-C3DCCCD7,Review network segmentation,Action item for RA control remediation,CM-12,SYS-027,Review,High,Open,Jordan Rodriguez,jordan.rodriguez@company.com,2025-08-18,2025-11-15,,28,,,
ACT-9E9B03F9,Update access control policy,Action item for PL control remediation,IR-11,SYS-030,Implementation,Low,In Progress,Jordan Brown,jordan.brown@company.com,2025-07-13,2025-10-16,,29,,,
ACT-EC19F3C5,Update access control policy,Action item for IR control remediation,AT-3,SYS-030,Implementation,Critical,Closed,Avery Chen,avery.chen@company.com,2025-09-02,2026-01-23,2025-12-03,14,6,,
ACT-841C8F9F,Implement encryption at rest,Action item for MP control remediation,MA-11,SYS-023,Remediation,Medium,Open,Alex Davis,alex.davis@company.com,2025-09-20,2025-10-24,,23,,,
ACT-EA931A20,Configure audit logging,Action item for PM control remediation,PM-8,SYS-021,Documentation,Medium,Closed,Taylor Kim,taylor.kim@company.com,2025-09-13,2026-01-27,2025-11-15,7,58,,
ACT-31B73251,Update access control policy,Action item for SR control remediation,SI-15,SYS-028,Training,Critical,Blocked,Casey Davis,casey.davis@company.com,2025-08-10,2025-12-22,,79,,ACT-ED33B9BB,
