exception_id,control_id,system_id,exception_reason,business_justification,compensating_control,risk_acceptance,requested_by,requested_by_email,request_date,approved_by,approved_by_title,approval_date,expiry_date,status,review_frequency,last_review_date,notes
EXC-3EED6709,CM-13,SYS-045,Business requirement - control conflicts with operations,Business justification for exception to control requirements.,Compensating control: Physical security control,Accepted with conditions,Taylor Williams,taylor.williams@company.com,2025-02-18,Drew Rodriguez,CISO,2025-11-25,2025-08-26,Expired,Semi-annually,,
EXC-76E79043,IR-6,SYS-024,Vendor limitation - third-party system constraint,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Under review,Alex Davis,alex.davis@company.com,2025-01-22,Cameron Brown,CISO,2025-11-19,2026-05-08,Active,Semi-annually,2025-12-06,
EXC-8DB375D7,SC-1,SYS-004,Cost prohibitive - alternative compensating control in place,Business justification for exception to control requirements.,Compensating control: Enhanced monitoring,Accepted,Taylor Rodriguez,taylor.rodriguez@company.com,2025-04-03,,,,,Pending Approval,Semi-annually,,
EXC-46625D25,PE-14,SYS-016,Legacy system - scheduled for decommission,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Accepted with conditions,Alex Rodriguez,alex.rodriguez@company.com,2025-10-10,,,,,Pending Approval,Annually,,
EXC-7FA89176,MA-9,SYS-019,Technical limitation - system cannot support control,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Under review,Casey Williams,casey.williams@company.com,2025-06-19,Cameron Martinez,VP Engineering,2025-11-23,2026-02-09,Active,Quarterly,2025-09-27,
EXC-AE8084B3,MP-7,SYS-016,Business requirement - control conflicts with operations,Business justification for exception to control requirements.,Compensating control: Enhanced monitoring,Accepted,Taylor Davis,taylor.davis@company.com,2025-10-21,Riley Rodriguez,VP Engineering,2025-12-08,2025-09-18,Expired,Semi-annually,,
EXC-FF1676D8,SI-14,SYS-005,Business requirement - control conflicts with operations,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Accepted,Drew Chen,drew.chen@company.com,2025-01-07,Casey Kim,VP Security,2025-12-07,2025-06-14,Expired,Quarterly,,
EXC-A4A56DE5,CM-15,SYS-001,Legacy system - scheduled for decommission,Business justification for exception to control requirements.,Compensating control: Enhanced monitoring,Accepted with conditions,Alex Williams,alex.williams@company.com,2025-06-10,,,,,Pending Approval,Quarterly,,
EXC-A64A4F14,CM-15,SYS-005,Business requirement - control conflicts with operations,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Under review,Quinn Martinez,quinn.martinez@company.com,2025-07-06,Alex Chen,CISO,2025-12-06,2026-04-23,Active,Quarterly,2025-11-07,
EXC-5839A74A,CP-3,SYS-026,Legacy system - scheduled for decommission,Business justification for exception to control requirements.,Compensating control: Physical security control,Accepted with conditions,Avery Brown,avery.brown@company.com,2024-12-19,Casey Brown,CTO,2025-12-02,2026-01-03,Expired,Semi-annually,,
EXC-4744737D,CP-2,SYS-015,Legacy system - scheduled for decommission,Business justification for exception to control requirements.,Compensating control: Manual review process,Under review,Jordan Brown,jordan.brown@company.com,2025-09-26,,,,,Pending Approval,Annually,,
EXC-96558509,MP-5,SYS-029,Legacy system - scheduled for decommission,Business justification for exception to control requirements.,Compensating control: Enhanced monitoring,Accepted with conditions,Avery Kim,avery.kim@company.com,2025-03-19,,,,,Pending Approval,Semi-annually,,
EXC-50EF1B90,IA-3,SYS-035,Legacy system - scheduled for decommission,Business justification for exception to control requirements.,Compensating control: Enhanced monitoring,Accepted with conditions,Jordan Johnson,jordan.johnson@company.com,2025-07-13,Casey Brown,CTO,2025-11-30,2026-02-16,Expired,Quarterly,,
EXC-C50C3956,IA-10,SYS-011,Cost prohibitive - alternative compensating control in place,Business justification for exception to control requirements.,Compensating control: Enhanced monitoring,Accepted,Quinn Kim,quinn.kim@company.com,2025-06-16,Riley Martinez,VP Engineering,2025-12-04,2025-10-11,Active,Annually,2025-09-18,
EXC-1897D879,SI-6,SYS-007,Technical limitation - system cannot support control,Business justification for exception to control requirements.,Compensating control: Manual review process,Accepted with conditions,Riley Martinez,riley.martinez@company.com,2025-01-06,Casey Martinez,VP Security,2025-11-30,2025-07-26,Active,Quarterly,2025-10-23,
EXC-9D7E01A7,SC-2,SYS-041,Cost prohibitive - alternative compensating control in place,Business justification for exception to control requirements.,Compensating control: Physical security control,Accepted,Avery Johnson,avery.johnson@company.com,2024-12-19,Alex Williams,Director Compliance,2025-12-10,2026-04-20,Active,Semi-annually,2025-11-17,
EXC-AA29BC7D,CM-9,SYS-022,Cost prohibitive - alternative compensating control in place,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Under review,Casey Rodriguez,casey.rodriguez@company.com,2025-07-20,Jordan Rodriguez,VP Security,2025-11-18,2026-04-23,Active,Annually,2025-09-21,
EXC-7F28357C,MA-7,SYS-011,Vendor limitation - third-party system constraint,Business justification for exception to control requirements.,Compensating control: Manual review process,Under review,Riley Brown,riley.brown@company.com,2025-01-05,Cameron Chen,CISO,2025-12-09,2025-11-06,Active,Quarterly,2025-10-31,
EXC-262306AA,CA-13,SYS-014,Temporary exception during migration,Business justification for exception to control requirements.,Compensating control: Enhanced monitoring,Under review,Casey Martinez,casey.martinez@company.com,2025-04-05,Morgan Brown,CISO,2025-11-12,,Revoked,Quarterly,,
EXC-B8355AF8,SI-11,SYS-025,Temporary exception during migration,Business justification for exception to control requirements.,Compensating control: Alternative technical control,Accepted,Jordan Davis,jordan.davis@company.com,2025-03-09,Cameron Rodriguez,CTO,2025-11-17,2025-12-18,Active,Semi-annually,2025-10-10,
EXC-F5E1C0DB,AT-5,SYS-043,Cost prohibitive - alternative compensating control in place,Business justification for exception to control requirements.,Compensating control: Alternative technical control,Accepted,Morgan Kim,morgan.kim@company.com,2025-02-27,Avery Davis,VP Security,2025-11-18,,Revoked,Quarterly,,
EXC-DC9D3554,MP-1,SYS-041,Business requirement - control conflicts with operations,Business justification for exception to control requirements.,Compensating control: Alternative technical control,Under review,Casey Patel,casey.patel@company.com,2025-09-14,Jordan Garcia,CISO,2025-11-23,2025-10-05,Active,Semi-annually,2025-10-06,
EXC-12BFF071,AT-5,SYS-047,Legacy system - scheduled for decommission,Business justification for exception to control requirements.,Compensating control: Physical security control,Under review,Morgan Brown,morgan.brown@company.com,2025-03-15,Taylor Chen,CTO,2025-12-03,2025-07-12,Active,Quarterly,2025-11-13,
EXC-1F86E4C4,MA-5,SYS-003,Technical limitation - system cannot support control,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Accepted,Drew Garcia,drew.garcia@company.com,2025-06-16,,,,,Pending Approval,Quarterly,,
EXC-AC077538,SI-3,SYS-028,Vendor limitation - third-party system constraint,Business justification for exception to control requirements.,Compensating control: Manual review process,Accepted with conditions,Quinn Rodriguez,quinn.rodriguez@company.com,2025-10-30,Morgan Williams,VP Engineering,2025-12-05,2025-09-06,Active,Semi-annually,2025-11-02,
EXC-FC490EE8,MA-5,SYS-023,Temporary exception during migration,Business justification for exception to control requirements.,Compensating control: Enhanced monitoring,Accepted with conditions,Alex Kim,alex.kim@company.com,2024-12-17,Alex Chen,VP Security,2025-11-12,2025-10-26,Expired,Annually,,
EXC-0CA9B388,CP-3,SYS-043,Legacy system - scheduled for decommission,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Accepted with conditions,Alex Martinez,alex.martinez@company.com,2025-05-31,Jordan Chen,VP Engineering,2025-12-01,2025-11-14,Active,Semi-annually,2025-10-14,
EXC-35269232,AU-3,SYS-019,Temporary exception during migration,Business justification for exception to control requirements.,Compensating control: Physical security control,Accepted with conditions,Avery Martinez,avery.martinez@company.com,2025-10-24,,,,,Pending Approval,Quarterly,,
EXC-33EB8381,CM-6,SYS-036,Business requirement - control conflicts with operations,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Accepted,Alex Chen,alex.chen@company.com,2025-05-20,Drew Patel,VP Engineering,2025-12-08,2025-07-01,Expired,Annually,,
EXC-D7423F4D,CA-14,SYS-031,Vendor limitation - third-party system constraint,Business justification for exception to control requirements.,Compensating control: Increased audit frequency,Under review,Quinn Rodriguez,quinn.rodriguez@company.com,2025-10-28,Taylor Garcia,Director Compliance,2025-11-26,2026-05-19,Active,Quarterly,2025-11-11,
