evidence_id,control_id,system_id,system_name,evidence_type,evidence_description,evidence_path,uploaded_by,upload_timestamp,assessment_period_start,assessment_period_end,status,reviewer,review_timestamp,review_notes
ac6efce0-4133-47a8-8395-e94983e21bc9,CM-8,30c2e586-8a39-474b-a1b9-7bf7908bfeab,Marketing Analytics Engine,Vulnerability Scan,Vulnerability assessment report,/evidence/marketing_analytics_engine/CM-8_vulnerability_scan_20251205.pdf,michael.miller@nvidia-demo.com,2025-12-02T17:24:00,2025-11-02,2026-11-02,Accepted,security.manager@nvidia-demo.com,2025-12-09T09:24:00,Evidence meets control requirements
b15cda47-b600-4705-8e2b-2a1c7f3e4d09,AU-6,faef293a-1395-4a03-b4c4-fc7d3fa45ac7,Marketing Portal,Vulnerability Scan,Vulnerability assessment report,/evidence/marketing_portal/AU-6_vulnerability_scan_20251205.pdf,michael.clark@nvidia-demo.com,2025-09-25T11:46:00,2025-08-26,2026-08-26,Pending Review,,,
ea359808-9cd5-4d37-b3b8-1583a882c753,IR-4,0ee7e6ee-32ef-4c0f-94d5-9aa47765a0e2,Vendor Application,Penetration Test Report,Security testing results,/evidence/vendor_application/IR-4_penetration_test_report_20251205.pdf,christopher.walker@nvidia-demo.com,2025-11-25T09:02:00,2025-11-12,2026-11-12,Pending Review,,,
57dc0db7-c952-4b20-94a5-337ee18a13d4,CP-2,a27f9bf8-283e-478b-941f-87fcec50418e,HR Service,Policy Document,Formal policy or procedure document,/evidence/hr_service/CP-2_policy_document_20251205.pdf,david.rodriguez@nvidia-demo.com,2024-08-21T13:04:00,2024-08-03,2025-08-03,Expired,security.manager@nvidia-demo.com,2024-09-05T04:04:00,Evidence validity period has passed
9a6d6f09-5c56-48bf-b699-bad8d6460393,CA-7,8b4bf183-88dc-45db-861d-5624ff61a7f7,Inventory SCM,Vendor Assessment,Third-party vendor security assessment,/evidence/inventory_scm/CA-7_vendor_assessment_20251205.pdf,michelle.anderson@nvidia-demo.com,2025-11-08T13:09:00,2025-10-16,2026-10-16,Pending Review,,,
81197f32-9435-4b6f-b8e5-3dc6b2efcd09,IA-8,379aad25-1450-4f4a-8051-11d6f4f6b15b,Sales CRM,Configuration Export,System configuration file or export,/evidence/sales_crm/IA-8_configuration_export_20251205.json,jennifer.walker@nvidia-demo.com,2025-08-19T16:50:00,2025-07-26,2026-07-26,Accepted,compliance.lead@nvidia-demo.com,2025-08-27T02:50:00,Documentation complete and current
8f1b2d6a-6f4b-4fb9-92ed-cbe9ca8bfb16,CP-3,bc2af3a9-9a8b-478a-bc25-dc9140bf39a7,Customer ERP,Business Continuity Plan,BCP/DR documentation,/evidence/customer_erp/CP-3_business_continuity_plan_20251205.pdf,audit.team@nvidia-demo.com,2025-11-29T18:25:00,2025-11-22,2026-11-22,Pending Review,,,
9d781c62-dde8-4bab-bf56-00fbbd223c2d,CP-9,c3fb88ca-874a-4876-8f59-7eb35752c832,HR Dashboard,Access Review Report,Periodic access review documentation,/evidence/hr_dashboard/CP-9_access_review_report_20251205.xlsx,audit.team@nvidia-demo.com,2025-11-29T17:10:00,2025-11-02,2026-11-02,Rejected,audit.manager@nvidia-demo.com,2025-12-11T11:10:00,Evidence is for incorrect system
5d511348-499e-40f5-b4e1-548f99367b70,AC-7,6ad86b83-e43c-4db4-959a-1a9e70b4736e,Partner HRIS,Encryption Certificate,Certificate or key management documentation,/evidence/partner_hris/AC-7_encryption_certificate_20251205.pem,robert.smith@nvidia-demo.com,2025-11-16T18:21:00,2025-10-24,2026-10-24,Accepted,compliance.lead@nvidia-demo.com,2025-11-28T04:21:00,Evidence clearly demonstrates control effectiveness
e64569b3-b6e6-4813-b2de-a9e640b53f1a,PS-7,3168f778-3168-4598-8d4a-368d44741ed2,Supply Chain SCM,Audit Log,System audit log or access log,/evidence/supply_chain_scm/PS-7_audit_log_20251205.csv,michael.brown@nvidia-demo.com,2025-11-18T15:02:00,2025-11-04,2026-11-04,Accepted,audit.manager@nvidia-demo.com,2025-11-27T01:02:00,Documentation complete and current
